# Columns:
# (1) lens_name
# (2) z_d: lens redshift
# (3) z_s: source redshift
# (4) sigma_kappa_LSS: rms external convergence from uncorrelated
# line-of-sight large-scale structure, calculated for the Planck 2018 cosmology
# (5) b_sigma: projection-bias correction factor for the predicted velocity dispersion
# (6) kappa_env: environmental convergence
BELLSJ0944-0147      0.538977      1.178550      0.024640      1.026266      0.000000
BELLSJ1159-0007      0.579287      1.345670      0.027730      1.018215      0.000000
BELLSJ1215+0047      0.642284      1.297040      0.028130      1.041574      0.000000
BELLSJ1221+3806      0.534787      1.284380      0.026000      1.028427      0.000000
BELLSJ1234-0241      0.490020      1.015890      0.021320      1.036584      0.000000
BELLSJ1318-0104      0.659117      1.395900      0.029870      1.030002      0.000000
BELLSJ1337+3620      0.564312      1.182070      0.025130      1.023557      0.000000
BELLSJ1349+3612      0.439630      0.892639      0.018490      1.031216      0.000000
BELLSJ1352+3216      0.463380      1.034080      0.021060      1.019225      0.000000
BELLSJ1541+1812      0.560324      1.113330      0.024020      1.034753      0.000000
BELLSJ1542+1629      0.352061      1.023340      0.018170      1.034209      0.000000
BELLSJ1545+2748      0.521752      1.288590      0.025750      1.045711      0.000000
BELLSJ1601+2138      0.543480      1.446060      0.028160      1.022364      0.000000
BELLSJ1611+1705      0.476599      1.210890      0.023740      1.021489      0.000000
BELLSJ1631+1854      0.408079      1.086260      0.020460      1.019764      0.000000
BELLSJ1637+1439      0.390975      0.874424      0.017290      1.052949      0.000000
BELLSJ2122+0409      0.626095      1.451700      0.030000      1.027991      0.000000
BELLSJ2125+0411      0.363195      0.977734      0.017970      1.036946      0.000000
BELLSJ2303+0037      0.458153      0.936278      0.019500      1.032366      0.000000
