#lens_name, Survey name, Spectrograph, RA/Dec, z_len, z_src, \sigma_{obs}, \sigma_{obs}_err, seeing50, s_{fib}, velocity bias b_\sigma, <\kappa_{LSS}^2>^{1/2}
#z_len--from DR17. For duplicate lenses, redshifts and velocity dispersions are taken from entries with specprimary=1.
#For SLACSJ0157$-$0056, the velocity dispersion measured by BOSS is adopted.
J1127+2312      S4TM      SDSS  112738.70+231244.4      0.130298      0.361030    231.899460      9.681690      1.810000      1.169411      1.023244      0.004760
J1134+6027     SLACS      SDSS  113405.88+602713.2      0.152802      0.474229    232.806137     10.174842      2.205000      1.258431      1.029740      0.006440
J1137+1818      S4TM      SDSS  113728.61+181812.4      0.124070      0.462742    222.270187      9.001986      1.110000      1.163744      1.022876      0.005460
J1142+1001     SLACS      SDSS  114257.35+100111.8      0.221865      0.503896    212.873276     22.136982      1.926670      1.192050      1.021582      0.008480
J1142+2509      S4TM      SDSS  114238.23+250905.5      0.164045      0.659464    158.935898     10.122629      1.140000      1.156238      1.024188      0.008370
J1143-0144     SLACS      SDSS  114329.64-014430.0      0.106046      0.401893    261.711670      4.991526      1.875710      1.181716      1.030875      0.004430
J1144+0436      S4TM      SDSS  114440.13+043650.5      0.103642      0.255070    200.999374     14.879054      1.436670      1.129044      1.027834      0.003140
J1153+4612     SLACS      SDSS  115310.79+461205.3      0.179687      0.875098    210.923004     14.673497      1.606670      1.140129      1.023592      0.010500
J1204+0358     SLACS      SDSS  120444.07+035806.4      0.164365      0.630738    246.184647     15.715000      1.410000      1.128731      1.016937      0.008160
J1205+4910     SLACS      SDSS  120540.44+491029.4      0.214976      0.480836    295.896912     13.771117      2.268000      1.275366      1.039761      0.008030
J1213+2930      S4TM      SDSS  121303.72+293022.4      0.090619      0.595393    233.540817      7.800123      1.336670      1.130268      1.043507      0.004910
J1213+6708     SLACS      SDSS  121340.58+670829.0      0.122847      0.640230    278.419342      9.958898      2.292500      1.282111      1.032871      0.006570
J1218+0830     SLACS      SDSS  121826.70+083050.3      0.135019      0.717227    222.219528      9.512316      1.960000      1.199154      1.038075      0.007540
J1250+0523     SLACS      SDSS  125028.26+052349.1      0.231760      0.795289    246.323975     14.934856      2.103330      1.232456      1.016509      0.011970
J1251-0208     SLACS      SDSS  125135.71-020805.2      0.224315      0.784300    211.893082     22.998383      2.290000      1.281418      1.063585      0.011620
J1301+0834      S4TM      SDSS  130126.88+083425.2      0.090152      0.533091    180.400238      8.223233      1.513330      1.132231      1.058484      0.004600
J1330+1750      S4TM      SDSS  133031.40+175040.5      0.207395      0.371727    249.501556     12.347943      1.293330      1.133013      1.036321      0.006300
J1402+6321     SLACS      SDSS  140228.22+632133.3      0.204556      0.481400    267.608673     15.337714      2.370000      1.303986      1.034200      0.007820
J1403+0006     SLACS      SDSS  140329.49+000641.3      0.188778      0.473041    205.454636     15.523010      1.722500      1.155032      1.030740      0.007360
J1403+3309      S4TM      SDSS  140309.67+330917.8      0.062461      0.772017    190.781311      6.549516      1.063330      1.177754      1.029615      0.004000
J1416+5136     SLACS      SDSS  141622.34+513630.4      0.298681      0.811083    230.362061     22.440260      2.183330      1.252748      1.033101      0.014220
J1420+6019     SLACS      SDSS  142015.85+601914.8      0.062909      0.535059    198.883286      4.029591      2.083330      1.227562      1.058437      0.003380
J1430+4105     SLACS      SDSS  143004.10+410557.1      0.284918      0.575270    294.274689     29.708693      1.583330      1.137779      1.033417      0.010720
J1430+6104      S4TM      SDSS  143034.77+610404.8      0.168837      0.653742    182.462830     15.305924      1.796000      1.166950      1.030568      0.008500
J1432+6317     SLACS      SDSS  143213.34+631703.8      0.122995      0.664285    193.174866      8.232099      1.323330      1.130958      1.017838      0.006720
J1433+2835      S4TM      SDSS  143351.63+283516.4      0.091178      0.411458    231.215485      6.628954      1.110000      1.163744      1.018178      0.004000
J1436-0000     SLACS      SDSS  143627.54-000029.1      0.285207      0.804949    217.616425     16.908747      1.925000      1.191701      1.035752      0.013770
J1443+0304     SLACS      SDSS  144319.62+030408.2      0.133834      0.418665    221.924454     10.939292      2.907500      1.473095      1.048788      0.005390
J1451-0239     SLACS      SDSS  145128.19-023936.4      0.125331      0.520295    212.678268     13.248729      2.360000      1.301119      1.016220      0.005920
J1525+3327     SLACS      SDSS  152506.70+332747.4      0.358293      0.717252    302.575989     29.241125      1.446670      1.129272      1.050694      0.014250
J1531-0105     SLACS      SDSS  153150.08-010545.6      0.159659      0.743913    259.189362      9.293652      1.812500      1.169857      1.042096      0.008780
J1538+5817     SLACS      SDSS  153812.94+581709.7      0.142767      0.531175    191.385788     11.821082      2.706670      1.406931      1.029103      0.006610
J1541+3642      S4TM      SDSS  154122.27+364231.7      0.140592      0.738873    193.723541     11.514442      1.743330      1.158231      1.019122      0.007920
J1543+2202      S4TM      SDSS  154339.94+220223.3      0.268072      0.396586    286.694183     16.897429      1.220000      1.141242      1.030559      0.007350
J1550+2020      S4TM      SDSS  155010.62+202013.5      0.135076      0.350106    244.518661      9.749937      1.516670      1.132442      1.042154      0.004760
J1553+3004      S4TM      SDSS  155316.14+300425.7      0.160356      0.566274    196.354996     15.456953      1.036670      1.187158      1.020703      0.007490
J1607+2147      S4TM      SDSS  160740.50+214711.0      0.208933      0.486510    193.713211     16.331207      1.386000      1.128833      1.022441      0.007980
J1621+3931     SLACS      SDSS  162132.99+393144.6      0.244803      0.602119    228.217926     20.339714      1.806670      1.168821      1.037743      0.010270
J1627-0053     SLACS      SDSS  162746.45-005357.6      0.207579      0.524135    286.137878     13.146812      1.850000      1.176759      1.026324      0.008420
